comment_sen,score
买了差不多两个星期了，游戏机插进主机盒有点失灵,0
瑕疵版switch，屏幕里有灰。客服说是正常现象。不影响使用。我觉得像换的屏幕。买来送人。货像二手。店家开心就好。总之体验极差。没有下次了,0
没游戏玩可太难了。。,1
我是国行勇士我怕谁！！！哈哈，本人奔四的奶爸一枚，家中已有PS4 Pro，老年党只能玩玩单机游戏，所以对联网没有太高要求，买国行主要考虑保修方便，在京东买了延保，直接放心造，以后游戏多了如果要联网玩网速也有保证，目前都是马**买的卡带来玩，可以正常更新，健身环大冒险很不错，又可以健身又不无聊，强烈推荐！推荐****入套餐，比买裸机划算。,2
等了几天就给我发了个二手货过来这波操作属实有点下饭,0
收货手柄就坏，腾讯的客服虚无缥缈。,0
京东发货速度很快，机器试玩画面效果挺细腻，清晰度，色彩也挺好，流畅度很顺滑，机器运行很流畅，没有卡顿，产品包装防护很到位，外形自已比较喜欢，手感也挺好，比较满意的一次购物！,2
"流畅度：很不错
运行速度：老任的游戏没那么吃硬件，目前玩儿的游戏都很流畅
稳定性：目前没有出现过什么问题，还算稳定
画面效果：掌机模式720p，够用。主机模式1080p也够清晰了
外形外观：东西已经出来好几年了～要说经典也可以吧
产品包装：包装盒扔楼道，隔壁小孩馋哭了",2
国行真是啥也不是，买了两个月了，硬是没游戏可玩，真的是被骗的入了国行的坑,0
物流非常的给力   第2天就到货了   浓郁的咖啡气息和香浓的牛奶搭配起来真是太美味了   还送了一个杯子的  真心的不错  想吃 喝完了还会回来自由搭配 这种口味   总之这是一次完美的购物体验    给点个赞吧,2
快递是非常的快，疫情期间，两天也就到了。国行的机器，有一年质保也是蛮好的。里面内置了超级马里奥，不过只有6关，先玩着吧。等我的塞尔达到了再好好玩它。本以为连电视的画质会比PS4差很多，但是没想到效果非常的好。希望腾讯赶紧多出游戏，卖便宜点。,2
"流畅度：很流畅
运行速度：非常快
画面效果：720p还行
外形外观：经典，不用多说
产品包装：买的套装，划得来，包装很好，腾讯出品
           人身的第一个游戏机吧，从小到大也喜欢玩游戏，一直想要个游戏机，首批国行ns用户，想体验一下在掌机玩游戏是什么感受，预装的游戏也很好玩，后面等其他好玩的游戏上线了再买",2
"太快了！实在是太快了！晚上下的单，第二天早上就到了！京东快递就是NB！
外形外观：外观干净，手感很舒服
运行速度：速度流畅不卡顿",2
"开机红，并且带个试玩版的马里奥，还可以。物流也是一如既往的快
差评是给包装的。收到货的时候塑料袋是破的，还安慰自己只要包装盒没事就行，结果拆开一看盒子前面后面都有大的破损，肯定是被硬物硌的。电子产品有你们这么弄的！？",0
他么的国行就是赤裸裸的欺骗。啥游戏都玩不了，就个马里奥，也好意思拿出来卖，等我们买游戏卡插上去发现玩不了，拆了不能退，我花两千买个游戏机来玩马里奥的？大家看清这骗钱的嘴脸！！！希望这个评论不要沉，我之前翻了很多评论都没有写到国行不能玩的！,0
"就一款游戏玩个毛啊！退货！但是我已拆封，又不让退！就是**公司！对京东也是超级失望！
商品描述里就没有介绍只有一款游戏！
最差的一次购物体验！
预**",0
"运行速度：很好 用起来也很舒服
画面效果：还可以吧 投到电视上很舒服
尴尬的就是joy_con遥感有弹簧声，看网评原来是个任天堂的通病，虽然玩着不舒服，还是忍了吧",2
谨慎购买吧！游戏太少了，虽然之前有心理准备，但是游戏并不是那么好玩，我就是随便买的，因为无聊。其实准备买ps4的，但是懒得弄屏幕，所以就买了这个，希望塞尔达能好玩一点。,1
非常好。特别喜欢，物美价廉值得购买，就是游戏不多，还可以，包装很好，物流很快，特别满意。十分好评,2
新出的品控真的不太行噢，我的手柄有划痕还松动，售后还不退，推来推去的，要被恶心死了,0
"流畅度：系统很流畅，便携玩游戏就是爽。英伟达的处理器性能有保障。
运行速度：玩游戏还不错，配合老任的游戏，基本没有卡顿。
稳定性：试玩几把，国内服务器很稳定，游戏机也很稳定。
画面效果：显示720P分辨率屏幕，不过不影响使用，老任的游戏，向来是游戏性第一。
外形外观：比想象中大，便携性还不错，反正能带出门。
产品包装：包装红色超级漂亮，中国红的感觉，很喜庆，当新年礼物送人绝对棒棒的。",2
"流畅度：挺好 挺快的
运行速度：没问题
稳定性：还好
画面效果：很清晰 接入大屏也是
外形外观：红蓝cp
产品包装：emmmm",2
很棒产品，发货速度快，国行有保障！游戏老少皆宜，一家人玩的不亦乐乎，很不错，加油！,2
鼓足了勇气当烈士，没想到体验是这样，寄过来个牙膏箱子，首页说给的赠品告我增完了，增完了不删，误导消费者,0
"流畅度：很好
运行速度：很快
稳定性：无明显问题
画面效果：一流
游戏只有一款可以下载，三百大洋。然后就没有了。果断选择退货",1
不值得买，游戏太少（目前就一款），不如去买其他版本,0
"流畅度：非常流畅
运行速度：快
稳定性：不错
画面效果：挺好
外形外观：外观没什么都一样
产品包装：挺好
京东物流没的说  上午下的单  下午就到了",2
挺好的，299玩商城所有游戏！大家快来买呀 &hellip;&hellip;嗯 除了没游戏，其他都很好，相信游戏会越来越多的，以后国行会是主流，就怕以后腾讯来个首冲送超梦碎片,2
"流畅度：完美无缺，非常棒的游戏体验
运行速度：无与伦比的流畅，国行精品
稳定性：一如既往的稳定
画面效果：惊艳的画面，配合荣耀X1电视非常棒的
外形外观：精致小巧，外出携带很方便
产品包装：完美无缺",2
送货速度超快，用过后再评价,2
"外形外观：买完才知道 防伪标上面有字母是拆过的啊
这次有点失望 送货很快 收到二手机有点不爽，应该是摸摸党摸几天退了 太倒霉了",1
目前只有一个游戏只有一个游戏，开箱不支持退货！开箱不支持退货！我快被媳妇打死了！慎重买！！,0
纯粹骗人的，就一个游戏，商城也没东西，谁买谁上当，就骗不懂得小白，你买了就等于买了一块砖，还不让退货，第一次见。,0
品控是真的差 后盖居然有点翘 不影响使用懒的换,1
千万不要买 几个月了还是一个游戏 谁买谁倒霉?,0
千万不要买国行，真的只有一个游戏，不能联网，不能DLC，我真的真的真的真的后悔了,0
专门为了健身环买的，和老婆一起在家里健身，省去了去往健身房的路程和时间，也比单独在健身房训练多了很多趣味性。重点是非常方便，随时有时间都可以练上一小会儿。偶尔朋友过来，还多了一个客厅娱乐项目，希望国行也越来越好，游戏越来越多。,2
千万不要买国行！不能和日服港服所有的其他服进行联机，不能购买数字版游戏，账号都是单独的，不是国际服，不能更新dlc，一共就3个游戏？你在逗我，ns只能玩3个游戏，你买了游戏就永远没有更多的内容，人家都在更新新内容，你永远都没有，而且锁服,0
国产游戏机的游戏太少太少了，不能玩想要的热门游戏,0
"流畅度：流畅
运行速度：快，按键反馈很好
稳定性：很稳定，操作很快
画面效果：画质优秀！
产品包装：惊喜！看到那么大的快递惊呆了！
外形外观：很棒！",2
